"customer_id","last_order_date","days_since_last_order","total_orders","total_spent","customer_status"
1,"2025-06-25",128,2,115.39,"Churned"
2,"2025-01-02",302,2,68.52,"Churned"
3,"2020-07-04",1945,1,66.72,"Churned"
4,"2023-08-01",822,2,279.86,"Churned"
5,"2025-01-30",274,3,271.29,"Churned"
6,"2024-11-27",338,4,387.40,"Churned"
7,"2022-09-11",1146,2,96.81,"Churned"
8,"2020-08-08",1910,1,207.40,"Churned"
9,"2024-05-21",528,1,122.51,"Churned"
10,"2023-04-02",943,3,398.85,"Churned"
12,"2024-08-04",453,2,484.25,"Churned"
14,"2025-10-28",3,3,380.89,"Active"
15,"2022-05-04",1276,2,40.06,"Churned"
16,"2024-04-22",557,1,285.40,"Churned"
17,"2024-03-11",599,3,791.85,"Churned"
18,"2024-10-16",380,4,805.64,"Churned"
19,"2021-05-06",1639,3,265.32,"Churned"
20,"2025-05-24",160,4,499.73,"Churned"
22,"2020-08-31",1887,1,169.83,"Churned"
23,"2023-05-31",884,1,57.19,"Churned"
25,"2025-03-22",223,2,318.95,"Churned"
26,"2023-05-08",907,1,5.93,"Churned"
27,"2023-12-18",683,2,75.13,"Churned"
28,"2020-08-25",1893,1,44.21,"Churned"
29,"2020-10-15",1842,1,16.80,"Churned"
30,"2025-02-15",258,2,369.64,"Churned"
31,"2025-08-14",78,2,296.48,"At Risk"
32,"2023-05-22",893,1,75.05,"Churned"
34,"2025-07-16",107,6,464.48,"Churned"
35,"2025-06-19",134,3,253.84,"Churned"
36,"2023-10-05",757,3,183.79,"Churned"
37,"2022-10-31",1096,2,239.33,"Churned"
39,"2023-02-05",999,3,358.38,"Churned"
40,"2025-04-24",190,5,1025.31,"Churned"
42,"2023-04-06",939,2,63.13,"Churned"
43,"2025-09-01",60,3,675.04,"At Risk"
45,"2024-07-27",461,3,383.31,"Churned"
46,"2025-09-30",31,2,72.24,"At Risk"
48,"2025-02-08",265,2,441.99,"Churned"
49,"2024-04-04",575,3,580.52,"Churned"
50,"2021-04-03",1672,1,186.60,"Churned"
51,"2025-09-18",43,2,267.34,"At Risk"
52,"2023-07-20",834,2,108.40,"Churned"
54,"2022-06-01",1248,2,180.43,"Churned"
55,"2023-11-13",718,2,351.59,"Churned"
56,"2024-01-12",658,3,220.52,"Churned"
57,"2023-08-20",803,1,97.38,"Churned"
58,"2023-07-09",845,2,246.35,"Churned"
59,"2022-02-28",1341,1,81.92,"Churned"
60,"2023-10-31",731,3,191.16,"Churned"
61,"2025-09-06",55,3,288.47,"At Risk"
62,"2021-06-29",1585,3,393.98,"Churned"
63,"2024-04-07",572,1,239.32,"Churned"
64,"2023-10-02",760,1,32.27,"Churned"
65,"2023-11-10",721,1,64.69,"Churned"
66,"2022-12-03",1063,2,311.93,"Churned"
68,"2021-08-23",1530,2,196.32,"Churned"
69,"2025-05-19",165,2,502.80,"Churned"
70,"2023-02-12",992,3,132.72,"Churned"
72,"2024-07-13",475,2,215.50,"Churned"
73,"2023-08-03",820,2,367.86,"Churned"
74,"2024-12-07",328,5,429.62,"Churned"
75,"2025-08-14",78,1,589.54,"At Risk"
76,"2022-11-02",1094,3,306.15,"Churned"
78,"2025-03-27",218,2,362.26,"Churned"
79,"2024-06-09",509,3,887.65,"Churned"
80,"2025-09-25",36,2,367.45,"At Risk"
81,"2024-07-07",481,5,334.92,"Churned"
82,"2024-05-05",544,1,37.63,"Churned"
85,"2022-02-20",1349,1,75.05,"Churned"
86,"2022-06-24",1225,1,245.08,"Churned"
91,"2025-08-20",72,5,727.71,"At Risk"
92,"2025-08-30",62,4,344.28,"At Risk"
93,"2021-06-26",1588,2,126.78,"Churned"
94,"2021-08-21",1532,1,407.08,"Churned"
95,"2025-02-08",265,2,500.47,"Churned"
97,"2022-08-31",1157,2,278.23,"Churned"
98,"2022-01-07",1393,1,59.52,"Churned"
99,"2025-09-26",35,4,730.92,"At Risk"
100,"2024-03-02",608,4,297.38,"Churned"
101,"2025-03-11",234,4,601.57,"Churned"
102,"2024-12-10",325,4,404.15,"Churned"
103,"2023-06-05",879,1,12.37,"Churned"
104,"2022-08-24",1164,2,145.17,"Churned"
105,"2020-01-21",2110,1,324.03,"Churned"
106,"2023-10-29",733,2,101.59,"Churned"
107,"2023-08-20",803,2,397.49,"Churned"
108,"2022-10-22",1105,2,453.75,"Churned"
109,"2025-06-14",139,1,1290.44,"Churned"
110,"2024-05-13",536,1,30.12,"Churned"
112,"2022-08-31",1157,1,44.71,"Churned"
113,"2025-04-04",210,1,50.89,"Churned"
114,"2022-07-14",1205,1,202.80,"Churned"
117,"2025-10-01",30,5,1355.84,"Active"
118,"2025-03-19",226,3,266.13,"Churned"
120,"2022-05-14",1266,2,193.42,"Churned"
121,"2024-05-12",537,2,160.79,"Churned"
123,"2025-01-27",277,2,160.86,"Churned"
124,"2022-08-20",1168,2,216.86,"Churned"
127,"2024-05-20",529,2,419.14,"Churned"
128,"2021-09-08",1514,3,202.05,"Churned"
129,"2024-10-09",387,2,359.80,"Churned"
130,"2025-02-14",259,2,122.73,"Churned"
133,"2022-05-14",1266,1,90.99,"Churned"
134,"2025-05-11",173,1,243.78,"Churned"
135,"2022-04-04",1306,1,7.82,"Churned"
138,"2023-10-28",734,1,15.86,"Churned"
140,"2020-12-24",1772,1,215.51,"Churned"
141,"2025-05-20",164,5,573.52,"Churned"
142,"2022-12-02",1064,2,405.84,"Churned"
143,"2025-10-17",14,3,409.48,"Active"
144,"2024-12-09",326,2,160.97,"Churned"
146,"2022-02-21",1348,3,268.29,"Churned"
147,"2024-06-06",512,3,681.71,"Churned"
148,"2025-10-18",13,1,224.01,"Active"
149,"2022-04-28",1282,1,140.18,"Churned"
150,"2020-10-13",1844,1,171.96,"Churned"
151,"2022-01-27",1373,1,90.75,"Churned"
152,"2023-02-02",1002,3,171.37,"Churned"
154,"2024-10-24",372,3,145.83,"Churned"
155,"2020-11-12",1814,1,39.06,"Churned"
156,"2024-06-21",497,1,30.56,"Churned"
157,"2020-02-13",2087,1,325.46,"Churned"
158,"2025-09-27",34,1,50.38,"At Risk"
160,"2025-05-21",163,3,133.99,"Churned"
161,"2022-12-28",1038,2,862.84,"Churned"
162,"2023-03-28",948,3,236.25,"Churned"
163,"2025-07-30",93,2,379.42,"Churned"
164,"2023-05-04",911,2,190.90,"Churned"
165,"2024-02-13",626,3,293.82,"Churned"
166,"2022-06-06",1243,2,293.42,"Churned"
167,"2023-03-27",949,1,237.34,"Churned"
169,"2024-02-05",634,2,180.90,"Churned"
171,"2025-07-21",102,3,115.21,"Churned"
