"cohort_month","month_number","cohort_customers","retained_customers","retention_rate_pct"
"2020-01-01 00:00:00+05:30",0,499,499,100.00
"2020-01-01 00:00:00+05:30",1,499,11,2.20
"2020-01-01 00:00:00+05:30",2,499,11,2.20
"2020-01-01 00:00:00+05:30",3,499,17,3.41
"2020-01-01 00:00:00+05:30",4,499,8,1.60
"2020-01-01 00:00:00+05:30",5,499,12,2.40
"2020-01-01 00:00:00+05:30",6,499,16,3.21
"2020-01-01 00:00:00+05:30",7,499,17,3.41
"2020-01-01 00:00:00+05:30",8,499,12,2.40
"2020-01-01 00:00:00+05:30",9,499,8,1.60
"2020-01-01 00:00:00+05:30",10,499,10,2.00
"2020-01-01 00:00:00+05:30",11,499,4,0.80
"2020-01-01 00:00:00+05:30",12,499,8,1.60
"2020-01-01 00:00:00+05:30",13,499,9,1.80
"2020-01-01 00:00:00+05:30",14,499,13,2.61
"2020-01-01 00:00:00+05:30",15,499,13,2.61
"2020-01-01 00:00:00+05:30",16,499,14,2.81
"2020-01-01 00:00:00+05:30",17,499,4,0.80
"2020-01-01 00:00:00+05:30",18,499,12,2.40
"2020-01-01 00:00:00+05:30",19,499,14,2.81
"2020-01-01 00:00:00+05:30",20,499,8,1.60
"2020-01-01 00:00:00+05:30",21,499,11,2.20
"2020-01-01 00:00:00+05:30",22,499,12,2.40
"2020-01-01 00:00:00+05:30",23,499,10,2.00
"2020-01-01 00:00:00+05:30",24,499,11,2.20
"2020-01-01 00:00:00+05:30",25,499,11,2.20
"2020-01-01 00:00:00+05:30",26,499,12,2.40
"2020-01-01 00:00:00+05:30",27,499,5,1.00
"2020-01-01 00:00:00+05:30",28,499,12,2.40
"2020-01-01 00:00:00+05:30",29,499,10,2.00
"2020-01-01 00:00:00+05:30",30,499,14,2.81
"2020-01-01 00:00:00+05:30",31,499,18,3.61
"2020-01-01 00:00:00+05:30",32,499,14,2.81
"2020-01-01 00:00:00+05:30",33,499,15,3.01
"2020-01-01 00:00:00+05:30",34,499,19,3.81
"2020-01-01 00:00:00+05:30",35,499,20,4.01
"2020-01-01 00:00:00+05:30",36,499,8,1.60
"2020-01-01 00:00:00+05:30",37,499,12,2.40
"2020-01-01 00:00:00+05:30",38,499,13,2.61
"2020-01-01 00:00:00+05:30",39,499,14,2.81
"2020-01-01 00:00:00+05:30",40,499,11,2.20
"2020-01-01 00:00:00+05:30",41,499,9,1.80
"2020-01-01 00:00:00+05:30",42,499,10,2.00
"2020-01-01 00:00:00+05:30",43,499,11,2.20
"2020-01-01 00:00:00+05:30",44,499,18,3.61
"2020-01-01 00:00:00+05:30",45,499,11,2.20
"2020-01-01 00:00:00+05:30",46,499,11,2.20
"2020-01-01 00:00:00+05:30",47,499,17,3.41
"2020-01-01 00:00:00+05:30",48,499,13,2.61
"2020-01-01 00:00:00+05:30",49,499,7,1.40
"2020-01-01 00:00:00+05:30",50,499,19,3.81
"2020-01-01 00:00:00+05:30",51,499,9,1.80
"2020-01-01 00:00:00+05:30",52,499,13,2.61
"2020-01-01 00:00:00+05:30",53,499,12,2.40
"2020-01-01 00:00:00+05:30",54,499,12,2.40
"2020-01-01 00:00:00+05:30",55,499,23,4.61
"2020-01-01 00:00:00+05:30",56,499,10,2.00
