"country_code","total_customers","total_orders","total_revenue","average_order_value","revenue_per_customer","orders_per_customer"
"AE",447,913,119886.00,131.31,268.20,2.04
"AU",848,1797,242263.71,134.82,285.69,2.12
"BR",1195,2464,323063.65,131.11,270.35,2.06
"CA",812,1651,220944.75,133.82,272.10,2.03
"DE",1143,2321,297669.52,128.25,260.43,2.03
"ES",757,1558,213972.24,137.34,282.66,2.06
"FR",1049,2188,297325.36,135.89,283.44,2.09
"GB",1273,2653,355863.06,134.14,279.55,2.08
"IN",1279,2642,345574.03,130.80,270.19,2.07
"JP",798,1655,212977.60,128.69,266.89,2.07
"MX",985,2022,275336.06,136.17,279.53,2.05
"NL",727,1491,205932.62,138.12,283.26,2.05
"PL",490,1014,143551.68,141.57,292.96,2.07
"SE",518,1029,137347.50,133.48,265.15,1.99
"SG",647,1379,181646.85,131.72,280.75,2.13
"US",2979,6138,823420.19,134.15,276.41,2.06
"ZA",321,665,96442.65,145.03,300.44,2.07
