"customer_id","first_order_date","last_order_date","customer_lifespan_days","total_orders","avg_order_value","lifetime_revenue","revenue_per_order"
1,"2022-03-18","2025-06-25",1195,2,57.70,115.39,57.70
2,"2023-12-16","2025-01-02",383,2,34.26,68.52,34.26
3,"2020-07-04","2020-07-04",0,1,66.72,66.72,66.72
4,"2020-09-29","2023-08-01",1036,2,139.93,279.86,139.93
5,"2024-06-15","2025-01-30",229,3,90.43,271.29,90.43
6,"2021-01-17","2024-11-27",1410,4,96.85,387.40,96.85
7,"2020-09-08","2022-09-11",733,2,48.41,96.81,48.41
8,"2020-08-08","2020-08-08",0,1,207.40,207.40,207.40
9,"2024-05-21","2024-05-21",0,1,122.51,122.51,122.51
10,"2022-12-22","2023-04-02",101,3,132.95,398.85,132.95
12,"2023-04-24","2024-08-04",468,2,242.13,484.25,242.13
14,"2022-11-30","2025-10-28",1063,3,126.96,380.89,126.96
15,"2020-09-20","2022-05-04",591,2,20.03,40.06,20.03
16,"2024-04-22","2024-04-22",0,1,285.40,285.40,285.40
17,"2021-05-04","2024-03-11",1042,3,263.95,791.85,263.95
18,"2021-09-26","2024-10-16",1116,4,201.41,805.64,201.41
19,"2020-08-27","2021-05-06",252,3,88.44,265.32,88.44
20,"2020-01-06","2025-05-24",1965,4,124.93,499.73,124.93
22,"2020-08-31","2020-08-31",0,1,169.83,169.83,169.83
23,"2023-05-31","2023-05-31",0,1,57.19,57.19,57.19
25,"2021-05-17","2025-03-22",1405,2,159.48,318.95,159.48
26,"2023-05-08","2023-05-08",0,1,5.93,5.93,5.93
27,"2022-08-29","2023-12-18",476,2,37.57,75.13,37.57
28,"2020-08-25","2020-08-25",0,1,44.21,44.21,44.21
29,"2020-10-15","2020-10-15",0,1,16.80,16.80,16.80
30,"2020-05-23","2025-02-15",1729,2,184.82,369.64,184.82
31,"2025-02-13","2025-08-14",182,2,148.24,296.48,148.24
32,"2023-05-22","2023-05-22",0,1,75.05,75.05,75.05
34,"2020-03-29","2025-07-16",1935,6,77.41,464.48,77.41
35,"2023-09-16","2025-06-19",642,3,84.61,253.84,84.61
36,"2020-07-06","2023-10-05",1186,3,61.26,183.79,61.26
37,"2022-03-22","2022-10-31",223,2,119.67,239.33,119.67
39,"2020-03-05","2023-02-05",1067,3,119.46,358.38,119.46
40,"2020-04-09","2025-04-24",1841,5,205.06,1025.31,205.06
42,"2020-05-02","2023-04-06",1069,2,31.57,63.13,31.57
43,"2021-01-26","2025-09-01",1679,3,225.01,675.04,225.01
45,"2023-04-04","2024-07-27",480,3,127.77,383.31,127.77
46,"2023-09-20","2025-09-30",741,2,36.12,72.24,36.12
48,"2020-03-24","2025-02-08",1782,2,221.00,441.99,221.00
49,"2021-10-31","2024-04-04",886,3,193.51,580.52,193.51
50,"2021-04-03","2021-04-03",0,1,186.60,186.60,186.60
51,"2025-02-06","2025-09-18",224,2,133.67,267.34,133.67
52,"2022-10-27","2023-07-20",266,2,54.20,108.40,54.20
54,"2021-01-17","2022-06-01",500,2,90.22,180.43,90.22
55,"2021-07-29","2023-11-13",837,2,175.80,351.59,175.80
56,"2021-11-26","2024-01-12",777,3,73.51,220.52,73.51
57,"2023-08-20","2023-08-20",0,1,97.38,97.38,97.38
