"sales_month","total_orders","purchasing_customers","total_revenue","average_order_value","average_discount_pct","previous_month_revenue","previous_month_orders","revenue_mom_growth_pct","orders_mom_growth_pct"
"2020-01-01 00:00:00+05:30",505,499,67598.88,133.86,7.43,NULL,NULL,NULL,NULL
"2020-02-01 00:00:00+05:30",458,452,61158.82,133.53,6.52,67598.88,505,-9.53,-9.31
"2020-03-01 00:00:00+05:30",465,455,62489.86,134.39,7.23,61158.82,458,2.18,1.53
"2020-04-01 00:00:00+05:30",470,461,65028.24,138.36,7.32,62489.86,465,4.06,1.08
"2020-05-01 00:00:00+05:30",488,483,59956.10,122.86,7.65,65028.24,470,-7.80,3.83
"2020-06-01 00:00:00+05:30",459,453,64501.05,140.53,7.17,59956.10,488,7.58,-5.94
"2020-07-01 00:00:00+05:30",454,451,53801.10,118.50,6.71,64501.05,459,-16.59,-1.09
"2020-08-01 00:00:00+05:30",475,469,60250.47,126.84,7.80,53801.10,454,11.99,4.63
"2020-09-01 00:00:00+05:30",458,452,63838.33,139.39,7.12,60250.47,475,5.95,-3.58
"2020-10-01 00:00:00+05:30",518,514,68316.35,131.88,7.27,63838.33,458,7.01,13.10
"2020-11-01 00:00:00+05:30",441,436,58315.30,132.23,7.59,68316.35,518,-14.64,-14.86
"2020-12-01 00:00:00+05:30",468,461,63836.27,136.40,7.18,58315.30,441,9.47,6.12
"2021-01-01 00:00:00+05:30",502,497,69411.68,138.27,7.25,63836.27,468,8.73,7.26
"2021-02-01 00:00:00+05:30",458,456,59765.65,130.49,7.47,69411.68,502,-13.90,-8.76
"2021-03-01 00:00:00+05:30",493,490,67765.89,137.46,6.76,59765.65,458,13.39,7.64
"2021-04-01 00:00:00+05:30",459,454,64613.77,140.77,7.51,67765.89,493,-4.65,-6.90
"2021-05-01 00:00:00+05:30",493,488,62750.08,127.28,7.54,64613.77,459,-2.88,7.41
"2021-06-01 00:00:00+05:30",460,455,64396.20,139.99,7.37,62750.08,493,2.62,-6.69
"2021-07-01 00:00:00+05:30",514,502,76474.39,148.78,6.57,64396.20,460,18.76,11.74
"2021-08-01 00:00:00+05:30",493,484,62009.70,125.78,7.05,76474.39,514,-18.91,-4.09
"2021-09-01 00:00:00+05:30",483,479,59522.73,123.24,7.00,62009.70,493,-4.01,-2.03
"2021-10-01 00:00:00+05:30",491,489,65982.10,134.38,7.04,59522.73,483,10.85,1.66
"2021-11-01 00:00:00+05:30",480,478,66050.29,137.60,6.46,65982.10,491,0.10,-2.24
"2021-12-01 00:00:00+05:30",505,497,67332.18,133.33,7.21,66050.29,480,1.94,5.21
"2022-01-01 00:00:00+05:30",501,498,63007.00,125.76,6.86,67332.18,505,-6.42,-0.79
"2022-02-01 00:00:00+05:30",436,430,54350.15,124.66,7.76,63007.00,501,-13.74,-12.97
"2022-03-01 00:00:00+05:30",497,490,64664.90,130.11,7.39,54350.15,436,18.98,13.99
"2022-04-01 00:00:00+05:30",452,446,56533.24,125.07,6.95,64664.90,497,-12.58,-9.05
"2022-05-01 00:00:00+05:30",474,463,67796.95,143.03,7.41,56533.24,452,19.92,4.87
"2022-06-01 00:00:00+05:30",448,440,58582.09,130.76,6.84,67796.95,474,-13.59,-5.49
"2022-07-01 00:00:00+05:30",493,487,70191.55,142.38,8.00,58582.09,448,19.82,10.04
"2022-08-01 00:00:00+05:30",522,519,71251.61,136.50,7.10,70191.55,493,1.51,5.88
"2022-09-01 00:00:00+05:30",437,432,62150.95,142.22,7.43,71251.61,522,-12.77,-16.28
"2022-10-01 00:00:00+05:30",474,467,63498.24,133.96,7.33,62150.95,437,2.17,8.47
"2022-11-01 00:00:00+05:30",487,483,64404.15,132.25,7.43,63498.24,474,1.43,2.74
"2022-12-01 00:00:00+05:30",478,474,63295.34,132.42,7.20,64404.15,487,-1.72,-1.85
"2023-01-01 00:00:00+05:30",513,509,72895.28,142.10,7.11,63295.34,478,15.17,7.32
"2023-02-01 00:00:00+05:30",422,414,52539.32,124.50,7.26,72895.28,513,-27.92,-17.74
"2023-03-01 00:00:00+05:30",483,478,65315.16,135.23,7.03,52539.32,422,24.32,14.45
"2023-04-01 00:00:00+05:30",486,479,60455.93,124.39,7.20,65315.16,483,-7.44,0.62
"2023-05-01 00:00:00+05:30",470,470,63759.40,135.66,6.87,60455.93,486,5.46,-3.29
"2023-06-01 00:00:00+05:30",467,464,68141.50,145.91,6.82,63759.40,470,6.87,-0.64
"2023-07-01 00:00:00+05:30",509,501,71000.50,139.49,7.09,68141.50,467,4.20,8.99
"2023-08-01 00:00:00+05:30",491,487,64074.86,130.50,7.10,71000.50,509,-9.75,-3.54
"2023-09-01 00:00:00+05:30",457,453,59553.70,130.31,7.08,64074.86,491,-7.06,-6.92
"2023-10-01 00:00:00+05:30",485,482,69015.69,142.30,7.05,59553.70,457,15.89,6.13
"2023-11-01 00:00:00+05:30",463,459,60589.44,130.86,6.78,69015.69,485,-12.21,-4.54
"2023-12-01 00:00:00+05:30",493,488,72389.37,146.83,6.95,60589.44,463,19.48,6.48
"2024-01-01 00:00:00+05:30",494,490,63452.29,128.45,6.57,72389.37,493,-12.35,0.20
"2024-02-01 00:00:00+05:30",439,435,59878.33,136.40,7.32,63452.29,494,-5.63,-11.13
"2024-03-01 00:00:00+05:30",478,472,60946.68,127.50,6.55,59878.33,439,1.78,8.88
"2024-04-01 00:00:00+05:30",452,450,54604.34,120.81,7.47,60946.68,478,-10.41,-5.44
"2024-05-01 00:00:00+05:30",474,469,60604.24,127.86,6.88,54604.34,452,10.99,4.87
"2024-06-01 00:00:00+05:30",451,448,57740.38,128.03,7.44,60604.24,474,-4.73,-4.85
"2024-07-01 00:00:00+05:30",509,502,65883.24,129.44,6.86,57740.38,451,14.10,12.86
"2024-08-01 00:00:00+05:30",504,492,70582.82,140.05,6.97,65883.24,509,7.13,-0.98
"2024-09-01 00:00:00+05:30",456,450,60843.10,133.43,7.39,70582.82,504,-13.80,-9.52
"2024-10-01 00:00:00+05:30",503,496,69016.27,137.21,6.62,60843.10,456,13.43,10.31
"2024-11-01 00:00:00+05:30",497,490,63691.81,128.15,6.88,69016.27,503,-7.71,-1.19
"2024-12-01 00:00:00+05:30",517,513,69036.95,133.53,7.65,63691.81,497,8.39,4.02
"2025-01-01 00:00:00+05:30",512,507,73721.28,143.99,7.43,69036.95,517,6.79,-0.97
"2025-02-01 00:00:00+05:30",441,435,61015.29,138.36,7.11,73721.28,512,-17.24,-13.87
"2025-03-01 00:00:00+05:30",512,506,72187.00,140.99,6.65,61015.29,441,18.31,16.10
"2025-04-01 00:00:00+05:30",479,470,60620.05,126.56,7.22,72187.00,512,-16.02,-6.45
"2025-05-01 00:00:00+05:30",468,460,66420.91,141.93,7.40,60620.05,479,9.57,-2.30
"2025-06-01 00:00:00+05:30",468,464,62953.16,134.52,7.00,66420.91,468,-5.22,0.00
"2025-07-01 00:00:00+05:30",470,466,56183.91,119.54,7.49,62953.16,468,-10.75,0.43
"2025-08-01 00:00:00+05:30",521,515,71093.01,136.45,7.25,56183.91,470,26.54,10.85
"2025-09-01 00:00:00+05:30",514,510,69386.33,134.99,7.69,71093.01,521,-2.40,-1.34
"2025-10-01 00:00:00+05:30",493,482,68734.33,139.42,7.30,69386.33,514,-0.94,-4.09
