"product_id","product_name","product_category","total_orders","total_quantity_sold","total_revenue","total_cost","total_profit","avg_order_product_value"
1,"SSD MediumBlue 149","Electronics",2,2,1140.56,705.38,435.18,570.28
2,"Keyboard DeepPink 696","Electronics",2,2,996.26,526.26,470.00,498.13
3,"Headphones Orchid 188","Electronics",4,6,3291.18,1857.60,1433.58,822.80
4,"Smartwatch BurlyWood 664","Electronics",14,19,5098.84,2917.64,2181.20,364.20
5,"Smartwatch Cornsilk 328","Electronics",44,56,3566.64,2388.40,1178.24,81.06
6,"Headphones WhiteSmoke 326","Electronics",7,7,2512.65,1555.33,957.32,358.95
7,"Headphones DarkGray 529","Electronics",11,18,6251.40,3375.54,2875.86,568.31
8,"Mouse Moccasin 673","Electronics",4,4,1352.76,908.08,444.68,338.19
9,"Mouse Chartreuse 292","Electronics",74,101,8962.74,6017.58,2945.16,121.12
10,"SSD Tan 677","Electronics",58,80,6843.20,4883.20,1960.00,117.99
11,"Headphones HotPink 644","Electronics",9,12,4594.08,2981.16,1612.92,510.45
12,"Smartwatch Blue 564","Electronics",5,10,4730.20,3025.80,1704.40,946.04
13,"SSD DarkCyan 815","Electronics",21,34,6829.58,5042.54,1787.04,325.22
14,"Webcam PowderBlue 606","Electronics",74,103,7895.98,4659.72,3236.26,106.70
15,"SSD PeachPuff 174","Electronics",5,8,3566.24,2091.20,1475.04,713.25
16,"Keyboard CornflowerBlue 450","Electronics",3,3,965.40,530.49,434.91,321.80
17,"Mouse LawnGreen 784","Electronics",1,1,561.96,352.07,209.89,561.96
18,"Keyboard DarkGoldenRod 996","Electronics",2,2,931.62,625.96,305.66,465.81
19,"SSD Peru 608","Electronics",17,19,4253.53,2573.55,1679.98,250.21
20,"Speaker Chocolate 376","Electronics",50,67,4635.73,2448.18,2187.55,92.71
21,"Speaker DarkRed 848","Electronics",6,7,2991.17,1553.93,1437.24,498.53
22,"Monitor Ivory 941","Electronics",3,3,1196.58,954.78,241.80,398.86
23,"Speaker Chocolate 784","Electronics",29,34,6535.48,4024.24,2511.24,225.36
24,"SSD Orchid 272","Electronics",85,125,5357.50,3421.25,1936.25,62.30
25,"Keyboard BurlyWood 394","Electronics",8,8,2491.28,1408.72,1082.56,311.41
26,"Mouse Indigo 992","Electronics",2,6,2705.22,1675.56,1029.66,1352.61
27,"Speaker Brown 662","Electronics",69,91,6909.63,4386.20,2523.43,100.14
28,"Monitor DarkSlateBlue 984","Electronics",5,8,4268.24,3183.20,1085.04,853.65
29,"Monitor LightSteelBlue 799","Electronics",4,4,1730.60,1377.44,353.16,432.65
30,"Smartwatch PeachPuff 280","Electronics",4,8,4607.28,2512.24,2095.04,1151.82
31,"Mouse DarkTurquoise 596","Electronics",39,45,7299.90,4161.15,3138.75,187.18
32,"Mouse Yellow 529","Electronics",27,43,7730.11,3874.73,3855.38,286.30
33,"SSD DarkOrchid 228","Electronics",2,2,755.18,449.78,305.40,377.59
34,"Headphones Linen 995","Electronics",15,16,4644.64,3536.00,1108.64,309.64
35,"Smartwatch Gainsboro 593","Electronics",11,11,2825.90,1747.02,1078.88,256.90
36,"Smartwatch DarkKhaki 313","Electronics",80,96,6286.08,3269.76,3016.32,78.58
37,"Speaker Gold 153","Electronics",50,63,7718.13,4646.25,3071.88,154.36
38,"Keyboard Navy 203","Electronics",80,124,3736.12,2037.32,1698.80,46.70
