"product_id","product_name","product_category","total_reviews","avg_rating","min_rating","max_rating","total_orders","total_quantity_sold","total_revenue","rating_segment"
1,"SSD MediumBlue 149","Electronics",1,5.00,5,5,2,2,1140.56,"Good"
2,"Keyboard DeepPink 696","Electronics",0,NULL,NULL,NULL,2,2,996.26,"No Reviews"
3,"Headphones Orchid 188","Electronics",1,5.00,5,5,4,6,3291.18,"Good"
4,"Smartwatch BurlyWood 664","Electronics",2,4.50,4,5,14,19,5098.84,"Good"
5,"Smartwatch Cornsilk 328","Electronics",14,4.57,3,5,44,56,3566.64,"Highly Rated"
6,"Headphones WhiteSmoke 326","Electronics",2,3.50,2,5,7,7,2512.65,"Average"
7,"Headphones DarkGray 529","Electronics",3,4.67,4,5,11,18,6251.40,"Good"
8,"Mouse Moccasin 673","Electronics",1,4.00,4,4,4,4,1352.76,"Good"
9,"Mouse Chartreuse 292","Electronics",14,3.57,1,5,74,101,8962.74,"Average"
10,"SSD Tan 677","Electronics",21,3.86,1,5,58,80,6843.20,"Average"
11,"Headphones HotPink 644","Electronics",0,NULL,NULL,NULL,9,12,4594.08,"No Reviews"
12,"Smartwatch Blue 564","Electronics",1,2.00,2,2,5,10,4730.20,"Needs Attention"
13,"SSD DarkCyan 815","Electronics",3,4.67,4,5,21,34,6829.58,"Good"
14,"Webcam PowderBlue 606","Electronics",19,4.00,2,5,74,103,7895.98,"Good"
15,"SSD PeachPuff 174","Electronics",1,5.00,5,5,5,8,3566.24,"Good"
16,"Keyboard CornflowerBlue 450","Electronics",0,NULL,NULL,NULL,3,3,965.40,"No Reviews"
17,"Mouse LawnGreen 784","Electronics",0,NULL,NULL,NULL,1,1,561.96,"No Reviews"
18,"Keyboard DarkGoldenRod 996","Electronics",1,4.00,4,4,2,2,931.62,"Good"
19,"SSD Peru 608","Electronics",3,3.00,2,4,17,19,4253.53,"Average"
20,"Speaker Chocolate 376","Electronics",7,4.14,2,5,50,67,4635.73,"Good"
21,"Speaker DarkRed 848","Electronics",3,3.33,1,5,6,7,2991.17,"Average"
22,"Monitor Ivory 941","Electronics",1,5.00,5,5,3,3,1196.58,"Good"
23,"Speaker Chocolate 784","Electronics",5,4.20,3,5,29,34,6535.48,"Good"
24,"SSD Orchid 272","Electronics",19,4.16,1,5,85,125,5357.50,"Good"
25,"Keyboard BurlyWood 394","Electronics",1,5.00,5,5,8,8,2491.28,"Good"
26,"Mouse Indigo 992","Electronics",0,NULL,NULL,NULL,2,6,2705.22,"No Reviews"
27,"Speaker Brown 662","Electronics",9,3.67,2,5,69,91,6909.63,"Average"
28,"Monitor DarkSlateBlue 984","Electronics",0,NULL,NULL,NULL,5,8,4268.24,"No Reviews"
29,"Monitor LightSteelBlue 799","Electronics",1,2.00,2,2,4,4,1730.60,"Needs Attention"
