"customer_id","last_order_date","recency_days","frequency","monetary_value","recency_score","frequency_score","monetary_score","rfm_score"
9110,"2020-01-01",2336,1,32.07,1,2,1,"1,2,1"
5828,"2020-01-01",2336,1,87.26,1,2,2,"1,2,2"
8602,"2020-01-01",2336,1,58.99,1,1,1,"1,1,1"
258,"2020-01-01",2336,1,69.26,1,1,1,"1,1,1"
17749,"2020-01-01",2336,1,142.10,1,2,2,"1,2,2"
1290,"2020-01-02",2335,1,117.91,1,2,2,"1,2,2"
19855,"2020-01-02",2335,1,233.97,1,1,3,"1,1,3"
16732,"2020-01-03",2334,1,211.86,1,1,3,"1,1,3"
8782,"2020-01-03",2334,1,202.20,1,1,3,"1,1,3"
8741,"2020-01-04",2333,1,68.42,1,1,1,"1,1,1"
19083,"2020-01-04",2333,1,76.08,1,2,2,"1,2,2"
17936,"2020-01-04",2333,1,190.01,1,1,3,"1,1,3"
2595,"2020-01-04",2333,1,97.67,1,2,2,"1,2,2"
15790,"2020-01-04",2333,1,107.98,1,2,2,"1,2,2"
11313,"2020-01-05",2332,1,41.99,1,1,1,"1,1,1"
3696,"2020-01-05",2332,1,49.66,1,1,1,"1,1,1"
6049,"2020-01-05",2332,1,116.76,1,2,2,"1,2,2"
8627,"2020-01-06",2331,1,186.85,1,1,3,"1,1,3"
15991,"2020-01-06",2331,1,6.65,1,2,1,"1,2,1"
862,"2020-01-07",2330,1,496.43,1,2,5,"1,2,5"
13557,"2020-01-08",2329,1,210.04,1,1,3,"1,1,3"
5379,"2020-01-08",2329,1,249.70,1,1,3,"1,1,3"
5734,"2020-01-08",2329,1,75.09,1,2,2,"1,2,2"
9374,"2020-01-08",2329,1,86.46,1,2,2,"1,2,2"
11647,"2020-01-09",2328,1,42.09,1,1,1,"1,1,1"
1672,"2020-01-10",2327,1,204.03,1,1,3,"1,1,3"
3224,"2020-01-10",2327,1,118.48,1,2,2,"1,2,2"
15624,"2020-01-11",2326,1,29.44,1,2,1,"1,2,1"
12494,"2020-01-11",2326,1,8.15,1,1,1,"1,1,1"
3712,"2020-01-12",2325,1,88.78,1,2,2,"1,2,2"
13992,"2020-01-13",2324,1,49.29,1,1,1,"1,1,1"
4193,"2020-01-13",2324,1,226.14,1,1,3,"1,1,3"
452,"2020-01-14",2323,1,148.93,1,1,2,"1,1,2"
7438,"2020-01-15",2322,1,133.07,1,2,2,"1,2,2"
14059,"2020-01-15",2322,1,226.12,1,1,3,"1,1,3"
10529,"2020-01-16",2321,1,211.96,1,1,3,"1,1,3"
13253,"2020-01-16",2321,1,221.16,1,1,3,"1,1,3"
12781,"2020-01-17",2320,1,205.08,1,1,3,"1,1,3"
16273,"2020-01-17",2320,1,42.91,1,1,1,"1,1,1"
19031,"2020-01-17",2320,1,98.46,1,2,2,"1,2,2"
2854,"2020-01-18",2319,1,563.98,1,2,5,"1,2,5"
8939,"2020-01-18",2319,1,4.67,1,2,1,"1,2,1"
2612,"2020-01-18",2319,1,118.51,1,2,2,"1,2,2"
14002,"2020-01-18",2319,1,321.23,1,1,4,"1,1,4"
17763,"2020-01-18",2319,2,192.72,1,3,3,"1,3,3"
7201,"2020-01-18",2319,1,250.46,1,1,3,"1,1,3"
9692,"2020-01-18",2319,1,56.33,1,1,1,"1,1,1"
6199,"2020-01-19",2318,1,95.11,1,2,2,"1,2,2"
13484,"2020-01-19",2318,1,87.58,1,2,2,"1,2,2"
2073,"2020-01-19",2318,1,307.74,1,1,4,"1,1,4"
15311,"2020-01-20",2317,1,247.37,1,1,3,"1,1,3"
7636,"2020-01-20",2317,1,105.93,1,2,2,"1,2,2"
2593,"2020-01-20",2317,1,67.57,1,1,1,"1,1,1"
6496,"2020-01-21",2316,1,315.49,1,1,4,"1,1,4"
19570,"2020-01-21",2316,1,32.51,1,2,1,"1,2,1"
8105,"2020-01-21",2316,1,93.80,1,2,2,"1,2,2"
105,"2020-01-21",2316,1,324.03,1,1,4,"1,1,4"
15109,"2020-01-22",2315,1,7.40,1,1,1,"1,1,1"
3965,"2020-01-22",2315,1,106.76,1,2,2,"1,2,2"
6354,"2020-01-22",2315,1,81.98,1,2,2,"1,2,2"
11143,"2020-01-22",2315,1,29.22,1,2,1,"1,2,1"
1300,"2020-01-22",2315,1,132.34,1,2,2,"1,2,2"
18484,"2020-01-23",2314,1,69.62,1,1,1,"1,1,1"
15186,"2020-01-23",2314,1,109.48,1,2,2,"1,2,2"
14349,"2020-01-24",2313,1,94.68,1,2,2,"1,2,2"
9598,"2020-01-24",2313,1,119.47,1,2,2,"1,2,2"
10018,"2020-01-25",2312,1,64.43,1,1,1,"1,1,1"
5319,"2020-01-26",2311,1,32.73,1,2,1,"1,2,1"
15293,"2020-01-26",2311,1,45.20,1,1,1,"1,1,1"
19339,"2020-01-26",2311,1,64.53,1,1,1,"1,1,1"
13204,"2020-01-26",2311,1,7.68,1,1,1,"1,1,1"
8131,"2020-01-27",2310,2,100.08,1,3,2,"1,3,2"
16140,"2020-01-28",2309,1,100.93,1,2,2,"1,2,2"
17668,"2020-01-28",2309,1,88.37,1,2,2,"1,2,2"
5087,"2020-01-28",2309,1,17.73,1,2,1,"1,2,1"
2606,"2020-01-29",2308,1,36.43,1,2,1,"1,2,1"
16992,"2020-01-29",2308,1,105.85,1,2,2,"1,2,2"
13857,"2020-01-29",2308,1,268.32,1,1,4,"1,1,4"
16704,"2020-01-29",2308,1,73.61,1,1,1,"1,1,1"
982,"2020-01-29",2308,1,752.49,1,2,5,"1,2,5"
15466,"2020-01-30",2307,1,44.15,1,1,1,"1,1,1"
18416,"2020-01-30",2307,1,32.41,1,2,1,"1,2,1"
18466,"2020-01-30",2307,1,19.69,1,2,1,"1,2,1"
17685,"2020-01-31",2306,1,60.21,1,1,1,"1,1,1"
6412,"2020-02-01",2305,1,239.45,1,1,3,"1,1,3"
19948,"2020-02-01",2305,2,269.29,1,3,4,"1,3,4"
16644,"2020-02-02",2304,1,209.66,1,1,3,"1,1,3"
8827,"2020-02-03",2303,1,86.56,1,2,2,"1,2,2"
16832,"2020-02-03",2303,1,30.17,1,2,1,"1,2,1"
5105,"2020-02-03",2303,1,29.44,1,2,1,"1,2,1"
14336,"2020-02-04",2302,1,413.39,1,2,4,"1,2,4"
10298,"2020-02-04",2302,1,215.09,1,1,3,"1,1,3"
3688,"2020-02-04",2302,1,18.25,1,2,1,"1,2,1"
16506,"2020-02-04",2302,1,4.59,1,2,1,"1,2,1"
19324,"2020-02-05",2301,1,68.61,1,1,1,"1,1,1"
17237,"2020-02-05",2301,1,90.06,1,2,2,"1,2,2"
19867,"2020-02-05",2301,1,79.32,1,2,2,"1,2,2"
19585,"2020-02-06",2300,1,426.28,1,2,4,"1,2,4"
18798,"2020-02-06",2300,1,14.42,1,1,1,"1,1,1"
12942,"2020-02-06",2300,1,18.24,1,2,1,"1,2,1"
550,"2020-02-06",2300,1,684.68,1,2,5,"1,2,5"
9245,"2020-02-07",2299,1,158.17,1,1,3,"1,1,3"
8343,"2020-02-07",2299,1,164.50,1,1,3,"1,1,3"
19418,"2020-02-09",2297,1,422.94,1,2,4,"1,2,4"
3800,"2020-02-09",2297,1,370.82,1,1,4,"1,1,4"
1236,"2020-02-09",2297,1,49.21,1,1,1,"1,1,1"
17708,"2020-02-10",2296,2,87.38,1,3,2,"1,3,2"
6644,"2020-02-11",2295,1,38.74,1,2,1,"1,2,1"
855,"2020-02-12",2294,1,146.07,1,1,2,"1,1,2"
1135,"2020-02-12",2294,1,116.31,1,2,2,"1,2,2"
13831,"2020-02-13",2293,1,216.07,1,1,3,"1,1,3"
157,"2020-02-13",2293,1,325.46,1,1,4,"1,1,4"
5276,"2020-02-13",2293,1,102.65,1,2,2,"1,2,2"
10787,"2020-02-14",2292,1,31.33,1,2,1,"1,2,1"
10825,"2020-02-14",2292,1,34.03,1,2,1,"1,2,1"
616,"2020-02-15",2291,1,202.41,1,1,3,"1,1,3"
1378,"2020-02-15",2291,1,62.33,1,1,1,"1,1,1"
19542,"2020-02-16",2290,1,15.33,1,2,1,"1,2,1"
7793,"2020-02-16",2290,1,42.06,1,1,1,"1,1,1"
3920,"2020-02-16",2290,1,252.48,1,1,3,"1,1,3"
10901,"2020-02-17",2289,1,28.96,1,2,1,"1,2,1"
10905,"2020-02-17",2289,1,110.84,1,2,2,"1,2,2"
3372,"2020-02-17",2289,1,61.62,1,1,1,"1,1,1"
8798,"2020-02-18",2288,2,221.12,1,3,3,"1,3,3"
3090,"2020-02-18",2288,1,40.61,1,1,1,"1,1,1"
16436,"2020-02-18",2288,1,68.39,1,1,1,"1,1,1"
16297,"2020-02-18",2288,2,276.55,1,3,4,"1,3,4"
7568,"2020-02-18",2288,1,97.33,1,2,2,"1,2,2"
4211,"2020-02-18",2288,1,10.60,1,1,1,"1,1,1"
13802,"2020-02-19",2287,1,24.10,1,2,1,"1,2,1"
4169,"2020-02-19",2287,1,14.01,1,1,1,"1,1,1"
7248,"2020-02-20",2286,1,56.86,1,1,1,"1,1,1"
19499,"2020-02-20",2286,1,59.29,1,1,1,"1,1,1"
11974,"2020-02-20",2286,1,323.00,1,1,4,"1,1,4"
15651,"2020-02-20",2286,1,11.63,1,1,1,"1,1,1"
4723,"2020-02-21",2285,1,165.74,1,1,3,"1,1,3"
3581,"2020-02-21",2285,1,8.85,1,1,1,"1,1,1"
2000,"2020-02-21",2285,1,143.42,1,2,2,"1,2,2"
8696,"2020-02-21",2285,1,109.57,1,2,2,"1,2,2"
11711,"2020-02-21",2285,1,129.85,1,2,2,"1,2,2"
