"device_type","traffic_source","country_code","total_sessions","page_view_sessions","add_to_cart_sessions","checkout_sessions","purchase_sessions","add_to_cart_rate_pct","checkout_rate_pct","purchase_conversion_rate_pct"
"desktop","direct","AE",324,324,218,110,83,67.28,50.46,25.62
"desktop","direct","AU",604,604,412,233,174,68.21,56.55,28.81
"desktop","direct","BR",805,805,558,304,230,69.32,54.48,28.57
"desktop","direct","CA",613,613,439,242,173,71.62,55.13,28.22
"desktop","direct","DE",789,789,557,305,222,70.60,54.76,28.14
"desktop","direct","ES",529,529,363,188,140,68.62,51.79,26.47
"desktop","direct","FR",765,765,548,308,221,71.63,56.20,28.89
"desktop","direct","GB",856,856,565,321,238,66.00,56.81,27.80
"desktop","direct","IN",878,878,600,314,234,68.34,52.33,26.65
"desktop","direct","JP",576,576,399,215,171,69.27,53.88,29.69
"desktop","direct","MX",681,681,459,234,185,67.40,50.98,27.17
"desktop","direct","NL",478,478,341,194,152,71.34,56.89,31.80
"desktop","direct","PL",322,322,228,138,101,70.81,60.53,31.37
"desktop","direct","SE",366,366,253,135,106,69.13,53.36,28.96
"desktop","direct","SG",444,444,300,156,121,67.57,52.00,27.25
"desktop","direct","US",2039,2039,1409,759,580,69.10,53.87,28.45
"desktop","direct","ZA",220,220,151,75,54,68.64,49.67,24.55
"desktop","email","AE",120,120,77,39,31,64.17,50.65,25.83
"desktop","email","AU",195,195,127,60,37,65.13,47.24,18.97
"desktop","email","BR",289,289,199,109,80,68.86,54.77,27.68
"desktop","email","CA",202,202,123,60,40,60.89,48.78,19.80
"desktop","email","DE",276,276,191,87,58,69.20,45.55,21.01
"desktop","email","ES",183,183,120,58,45,65.57,48.33,24.59
"desktop","email","FR",274,274,183,110,74,66.79,60.11,27.01
"desktop","email","GB",297,297,213,118,85,71.72,55.40,28.62
"desktop","email","IN",365,365,241,145,109,66.03,60.17,29.86
"desktop","email","JP",192,192,138,84,62,71.88,60.87,32.29
"desktop","email","MX",237,237,156,94,63,65.82,60.26,26.58
"desktop","email","NL",170,170,116,68,54,68.24,58.62,31.76
"desktop","email","PL",128,128,85,52,35,66.41,61.18,27.34
"desktop","email","SE",129,129,87,46,32,67.44,52.87,24.81
"desktop","email","SG",184,184,119,60,48,64.67,50.42,26.09
"desktop","email","US",794,794,527,291,223,66.37,55.22,28.09
"desktop","email","ZA",84,84,54,34,26,64.29,62.96,30.95
"desktop","organic","AE",418,418,289,160,114,69.14,55.36,27.27
"desktop","organic","AU",890,890,604,326,250,67.87,53.97,28.09
"desktop","organic","BR",1147,1147,784,448,330,68.35,57.14,28.77
"desktop","organic","CA",756,756,519,292,217,68.65,56.26,28.70
"desktop","organic","DE",1056,1056,696,383,283,65.91,55.03,26.80
"desktop","organic","ES",744,744,510,283,207,68.55,55.49,27.82
"desktop","organic","FR",992,992,672,377,276,67.74,56.10,27.82
"desktop","organic","GB",1236,1236,828,453,352,66.99,54.71,28.48
"desktop","organic","IN",1177,1177,792,437,333,67.29,55.18,28.29
"desktop","organic","JP",779,779,517,282,218,66.37,54.55,27.98
"desktop","organic","MX",943,943,634,347,252,67.23,54.73,26.72
"desktop","organic","NL",722,722,474,263,190,65.65,55.49,26.32
"desktop","organic","PL",462,462,301,165,116,65.15,54.82,25.11
"desktop","organic","SE",462,462,319,184,135,69.05,57.68,29.22
"desktop","organic","SG",596,596,418,239,181,70.13,57.18,30.37
"desktop","organic","US",2886,2886,1958,1092,812,67.84,55.77,28.14
"desktop","organic","ZA",289,289,204,109,84,70.59,53.43,29.07
"desktop","paid","AE",182,182,117,54,39,64.29,46.15,21.43
"desktop","paid","AU",328,328,214,120,89,65.24,56.07,27.13
"desktop","paid","BR",354,354,245,134,101,69.21,54.69,28.53
"desktop","paid","CA",300,300,199,115,93,66.33,57.79,31.00
"desktop","paid","DE",395,395,285,159,125,72.15,55.79,31.65
"desktop","paid","ES",239,239,158,86,67,66.11,54.43,28.03
"desktop","paid","FR",360,360,234,114,81,65.00,48.72,22.50
"desktop","paid","GB",432,432,297,159,125,68.75,53.54,28.94
"desktop","paid","IN",414,414,275,141,109,66.43,51.27,26.33
"desktop","paid","JP",245,245,158,95,70,64.49,60.13,28.57
"desktop","paid","MX",333,333,214,129,93,64.26,60.28,27.93
"desktop","paid","NL",245,245,179,100,75,73.06,55.87,30.61
"desktop","paid","PL",183,183,123,63,47,67.21,51.22,25.68
"desktop","paid","SE",175,175,119,71,56,68.00,59.66,32.00
"desktop","paid","SG",211,211,144,79,55,68.25,54.86,26.07
"desktop","paid","US",1018,1018,695,384,293,68.27,55.25,28.78
"desktop","paid","ZA",99,99,65,41,32,65.66,63.08,32.32
"desktop","referral","AE",95,95,73,40,28,76.84,54.79,29.47
"desktop","referral","AU",186,186,128,78,69,68.82,60.94,37.10
"desktop","referral","BR",264,264,177,102,84,67.05,57.63,31.82
"desktop","referral","CA",175,175,111,61,45,63.43,54.95,25.71
"desktop","referral","DE",250,250,164,93,76,65.60,56.71,30.40
"desktop","referral","ES",184,184,130,78,60,70.65,60.00,32.61
"desktop","referral","FR",229,229,162,89,67,70.74,54.94,29.26
"desktop","referral","GB",288,288,195,106,82,67.71,54.36,28.47
"desktop","referral","IN",290,290,191,101,72,65.86,52.88,24.83
"desktop","referral","JP",175,175,128,75,59,73.14,58.59,33.71
"desktop","referral","MX",203,203,138,81,59,67.98,58.70,29.06
"desktop","referral","NL",164,164,117,65,54,71.34,55.56,32.93
"desktop","referral","PL",120,120,85,44,31,70.83,51.76,25.83
"desktop","referral","SE",106,106,74,36,29,69.81,48.65,27.36
"desktop","referral","SG",157,157,106,57,44,67.52,53.77,28.03
"desktop","referral","US",665,665,463,254,183,69.62,54.86,27.52
"desktop","referral","ZA",78,78,46,29,18,58.97,63.04,23.08
"desktop","social","AE",155,155,100,46,34,64.52,46.00,21.94
"desktop","social","AU",297,297,189,108,71,63.64,57.14,23.91
"desktop","social","BR",374,374,264,159,113,70.59,60.23,30.21
"desktop","social","CA",274,274,172,91,66,62.77,52.91,24.09
"desktop","social","DE",356,356,253,136,99,71.07,53.75,27.81
"desktop","social","ES",250,250,162,89,69,64.80,54.94,27.60
"desktop","social","FR",380,380,256,136,101,67.37,53.13,26.58
"desktop","social","GB",431,431,297,165,121,68.91,55.56,28.07
"desktop","social","IN",433,433,308,154,118,71.13,50.00,27.25
"desktop","social","JP",253,253,177,101,69,69.96,57.06,27.27
"desktop","social","MX",345,345,236,129,94,68.41,54.66,27.25
"desktop","social","NL",244,244,170,98,74,69.67,57.65,30.33
"desktop","social","PL",166,166,108,59,41,65.06,54.63,24.70
"desktop","social","SE",175,175,118,69,50,67.43,58.47,28.57
"desktop","social","SG",223,223,157,94,74,70.40,59.87,33.18
"desktop","social","US",971,971,658,367,273,67.77,55.78,28.12
"desktop","social","ZA",115,115,81,49,36,70.43,60.49,31.30
"mobile","direct","AE",452,452,315,157,110,69.69,49.84,24.34
"mobile","direct","AU",918,918,639,376,277,69.61,58.84,30.17
"mobile","direct","BR",1182,1182,795,454,345,67.26,57.11,29.19
"mobile","direct","CA",831,831,545,303,226,65.58,55.60,27.20
"mobile","direct","DE",1198,1198,828,481,350,69.12,58.09,29.22
"mobile","direct","ES",740,740,525,295,211,70.95,56.19,28.51
"mobile","direct","FR",1057,1057,730,396,302,69.06,54.25,28.57
"mobile","direct","GB",1293,1293,876,482,347,67.75,55.02,26.84
"mobile","direct","IN",1314,1314,896,493,360,68.19,55.02,27.40
"mobile","direct","JP",838,838,572,309,241,68.26,54.02,28.76
"mobile","direct","MX",1014,1014,694,387,278,68.44,55.76,27.42
"mobile","direct","NL",671,671,459,253,192,68.41,55.12,28.61
"mobile","direct","PL",507,507,340,195,145,67.06,57.35,28.60
"mobile","direct","SE",482,482,334,182,141,69.29,54.49,29.25
"mobile","direct","SG",649,649,418,245,177,64.41,58.61,27.27
"mobile","direct","US",2954,2954,1954,1090,819,66.15,55.78,27.73
"mobile","direct","ZA",322,322,217,123,89,67.39,56.68,27.64
"mobile","email","AE",191,191,137,84,69,71.73,61.31,36.13
"mobile","email","AU",315,315,212,110,83,67.30,51.89,26.35
"mobile","email","BR",431,431,275,155,115,63.81,56.36,26.68
"mobile","email","CA",288,288,186,98,77,64.58,52.69,26.74
"mobile","email","DE",409,409,270,144,105,66.01,53.33,25.67
"mobile","email","ES",277,277,195,106,86,70.40,54.36,31.05
"mobile","email","FR",381,381,250,147,105,65.62,58.80,27.56
"mobile","email","GB",485,485,338,196,154,69.69,57.99,31.75
"mobile","email","IN",501,501,346,189,145,69.06,54.62,28.94
"mobile","email","JP",294,294,203,120,95,69.05,59.11,32.31
"mobile","email","MX",362,362,245,145,101,67.68,59.18,27.90
"mobile","email","NL",259,259,193,104,83,74.52,53.89,32.05
"mobile","email","PL",178,178,126,73,55,70.79,57.94,30.90
"mobile","email","SE",182,182,130,65,44,71.43,50.00,24.18
"mobile","email","SG",230,230,151,92,61,65.65,60.93,26.52
"mobile","email","US",1138,1138,792,451,330,69.60,56.94,29.00
"mobile","email","ZA",123,123,78,47,38,63.41,60.26,30.89
"mobile","organic","AE",639,639,431,237,173,67.45,54.99,27.07
"mobile","organic","AU",1166,1166,797,422,299,68.35,52.95,25.64
"mobile","organic","BR",1612,1612,1127,621,458,69.91,55.10,28.41
"mobile","organic","CA",1103,1103,739,386,283,67.00,52.23,25.66
"mobile","organic","DE",1555,1555,1079,587,444,69.39,54.40,28.55
"mobile","organic","ES",1077,1077,746,395,282,69.27,52.95,26.18
"mobile","organic","FR",1442,1442,976,531,400,67.68,54.41,27.74
"mobile","organic","GB",1717,1717,1163,650,487,67.73,55.89,28.36
"mobile","organic","IN",1832,1832,1214,654,478,66.27,53.87,26.09
"mobile","organic","JP",1043,1043,707,389,279,67.79,55.02,26.75
"mobile","organic","MX",1330,1330,890,507,381,66.92,56.97,28.65
"mobile","organic","NL",1046,1046,692,370,272,66.16,53.47,26.00
"mobile","organic","PL",661,661,452,256,189,68.38,56.64,28.59
"mobile","organic","SE",689,689,441,235,175,64.01,53.29,25.40
"mobile","organic","SG",855,855,581,323,265,67.95,55.59,30.99
"mobile","organic","US",4152,4152,2782,1506,1143,67.00,54.13,27.53
"mobile","organic","ZA",436,436,301,163,117,69.04,54.15,26.83
"mobile","paid","AE",232,232,158,78,51,68.10,49.37,21.98
"mobile","paid","AU",414,414,284,158,127,68.60,55.63,30.68
"mobile","paid","BR",604,604,430,255,192,71.19,59.30,31.79
"mobile","paid","CA",421,421,287,157,111,68.17,54.70,26.37
"mobile","paid","DE",531,531,354,190,149,66.67,53.67,28.06
"mobile","paid","ES",397,397,269,149,114,67.76,55.39,28.72
"mobile","paid","FR",525,525,359,186,151,68.38,51.81,28.76
"mobile","paid","GB",630,630,425,241,186,67.46,56.71,29.52
"mobile","paid","IN",617,617,422,223,179,68.40,52.84,29.01
"mobile","paid","JP",392,392,260,144,111,66.33,55.38,28.32
"mobile","paid","MX",501,501,342,194,145,68.26,56.73,28.94
"mobile","paid","NL",339,339,245,150,111,72.27,61.22,32.74
"mobile","paid","PL",245,245,173,93,70,70.61,53.76,28.57
"mobile","paid","SE",242,242,165,94,76,68.18,56.97,31.40
"mobile","paid","SG",353,353,249,143,105,70.54,57.43,29.75
"mobile","paid","US",1395,1395,962,542,400,68.96,56.34,28.67
"mobile","paid","ZA",151,151,105,50,34,69.54,47.62,22.52
"mobile","referral","AE",146,146,109,52,42,74.66,47.71,28.77
"mobile","referral","AU",297,297,195,106,77,65.66,54.36,25.93
"mobile","referral","BR",370,370,239,134,104,64.59,56.07,28.11
"mobile","referral","CA",257,257,163,101,79,63.42,61.96,30.74
"mobile","referral","DE",381,381,259,148,116,67.98,57.14,30.45
"mobile","referral","ES",238,238,161,98,77,67.65,60.87,32.35
"mobile","referral","FR",334,334,214,119,96,64.07,55.61,28.74
"mobile","referral","GB",437,437,332,185,132,75.97,55.72,30.21
"mobile","referral","IN",402,402,266,149,117,66.17,56.02,29.10
"mobile","referral","JP",241,241,165,81,62,68.46,49.09,25.73
"mobile","referral","MX",340,340,233,120,89,68.53,51.50,26.18
"mobile","referral","NL",220,220,152,65,50,69.09,42.76,22.73
"mobile","referral","PL",162,162,119,76,59,73.46,63.87,36.42
"mobile","referral","SE",191,191,143,64,40,74.87,44.76,20.94
"mobile","referral","SG",211,211,145,84,63,68.72,57.93,29.86
"mobile","referral","US",918,918,620,320,234,67.54,51.61,25.49
"mobile","referral","ZA",110,110,71,33,27,64.55,46.48,24.55
"mobile","social","AE",215,215,166,86,65,77.21,51.81,30.23
"mobile","social","AU",400,400,270,154,119,67.50,57.04,29.75
"mobile","social","BR",550,550,359,185,142,65.27,51.53,25.82
"mobile","social","CA",381,381,257,144,115,67.45,56.03,30.18
"mobile","social","DE",551,551,365,197,140,66.24,53.97,25.41
"mobile","social","ES",346,346,224,124,99,64.74,55.36,28.61
"mobile","social","FR",536,536,362,197,151,67.54,54.42,28.17
"mobile","social","GB",648,648,444,241,178,68.52,54.28,27.47
"mobile","social","IN",645,645,448,259,202,69.46,57.81,31.32
"mobile","social","JP",413,413,271,149,103,65.62,54.98,24.94
"mobile","social","MX",457,457,318,166,126,69.58,52.20,27.57
"mobile","social","NL",324,324,205,111,81,63.27,54.15,25.00
"mobile","social","PL",237,237,163,86,58,68.78,52.76,24.47
"mobile","social","SE",230,230,164,102,79,71.30,62.20,34.35
"mobile","social","SG",322,322,226,122,95,70.19,53.98,29.50
"mobile","social","US",1454,1454,991,554,412,68.16,55.90,28.34
"mobile","social","ZA",168,168,110,57,47,65.48,51.82,27.98
"tablet","direct","AE",57,57,39,23,15,68.42,58.97,26.32
"tablet","direct","AU",108,108,75,41,33,69.44,54.67,30.56
"tablet","direct","BR",145,145,96,56,48,66.21,58.33,33.10
"tablet","direct","CA",118,118,83,45,34,70.34,54.22,28.81
"tablet","direct","DE",147,147,97,54,35,65.99,55.67,23.81
"tablet","direct","ES",97,97,71,39,28,73.20,54.93,28.87
"tablet","direct","FR",134,134,94,52,41,70.15,55.32,30.60
"tablet","direct","GB",165,165,104,55,37,63.03,52.88,22.42
"tablet","direct","IN",176,176,119,63,46,67.61,52.94,26.14
"tablet","direct","JP",114,114,82,49,35,71.93,59.76,30.70
"tablet","direct","MX",156,156,101,59,39,64.74,58.42,25.00
"tablet","direct","NL",83,83,47,23,18,56.63,48.94,21.69
"tablet","direct","PL",68,68,43,24,19,63.24,55.81,27.94
